perm_id,modal_label,modal_fraction,stability_score,multilabel_union
2875.0,Other,0.9455958549222798,0.9455958549222798,APD;Other
2876.0,Other,1.0,1.0,Other
2877.0,Other,0.9818652849740933,0.9818652849740933,APD;Other
2878.0,Other,1.0,1.0,Other
2879.0,Other,1.0,1.0,Other
2880.0,Other,1.0,1.0,Other
2881.0,Other,1.0,1.0,Other
2882.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
2883.0,Other,1.0,1.0,Other
2884.0,Other,1.0,1.0,Other
2885.0,Other,1.0,1.0,Other
2886.0,Other,1.0,1.0,Other
2887.0,Other,1.0,1.0,Other
2888.0,Other,1.0,1.0,Other
2889.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
2890.0,Other,1.0,1.0,Other
2891.0,Other,1.0,1.0,Other
2892.0,Other,1.0,1.0,Other
2893.0,Other,1.0,1.0,Other
2894.0,Other,1.0,1.0,Other
2895.0,Other,1.0,1.0,Other
2896.0,Other,1.0,1.0,Other
2897.0,Other,0.8523316062176166,0.8523316062176166,APD;FM/EM;Other
2898.0,Other,0.8523316062176166,0.8523316062176166,APD;FM/EM;Other
2899.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
2900.0,Other,1.0,1.0,Other
2901.0,Other,1.0,1.0,Other
2902.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
2903.0,Other,1.0,1.0,Other
2904.0,Other,1.0,1.0,Other
2905.0,Other,1.0,1.0,Other
2906.0,Other,1.0,1.0,Other
2907.0,Other,1.0,1.0,Other
2908.0,Other,1.0,1.0,Other
2909.0,Other,1.0,1.0,Other
2910.0,Other,1.0,1.0,Other
2911.0,Other,0.8523316062176166,0.8523316062176166,APD;FM/EM;Other
2912.0,Other,1.0,1.0,Other
2913.0,Other,1.0,1.0,Other
2914.0,Other,1.0,1.0,Other
2915.0,Other,0.9455958549222798,0.9455958549222798,APD;Other
2916.0,Other,0.9455958549222798,0.9455958549222798,APD;Other
2917.0,Other,1.0,1.0,Other
2918.0,Other,1.0,1.0,Other
2919.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
2920.0,Other,1.0,1.0,Other
2921.0,Other,1.0,1.0,Other
2922.0,Other,1.0,1.0,Other
2923.0,Other,1.0,1.0,Other
2924.0,Other,1.0,1.0,Other
2925.0,Other,0.9455958549222798,0.9455958549222798,APD;Other
2926.0,Other,0.8497409326424871,0.8497409326424871,APD;FM/EM;Other
2927.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
2928.0,Other,1.0,1.0,Other
2929.0,Other,1.0,1.0,Other
2930.0,Other,1.0,1.0,Other
2931.0,Other,0.9455958549222798,0.9455958549222798,APD;Other
2932.0,Other,1.0,1.0,Other
2933.0,Other,1.0,1.0,Other
2934.0,Other,1.0,1.0,Other
2935.0,Other,1.0,1.0,Other
2936.0,Other,1.0,1.0,Other
2937.0,Other,1.0,1.0,Other
2938.0,Other,1.0,1.0,Other
2939.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
2940.0,Other,1.0,1.0,Other
2941.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
2942.0,Other,1.0,1.0,Other
2943.0,Other,1.0,1.0,Other
2944.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
2945.0,Other,1.0,1.0,Other
2946.0,Other,1.0,1.0,Other
2947.0,Other,1.0,1.0,Other
2948.0,Other,0.8523316062176166,0.8523316062176166,APD;FM/EM;Other
2949.0,Other,1.0,1.0,Other
2950.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
2951.0,Other,1.0,1.0,Other
2952.0,Other,1.0,1.0,Other
2953.0,Other,0.9455958549222798,0.9455958549222798,APD;Other
2954.0,Other,1.0,1.0,Other
2955.0,Other,1.0,1.0,Other
2956.0,Other,0.9818652849740933,0.9818652849740933,APD;Other
2957.0,Other,1.0,1.0,Other
