perm_index,dK,disp_kappa_scaled,adjacency_violations,single_move,max_block_move,order_dual_proximity,score_dir,connective_density_per_100,pos_weighted_connectives,sent_connective_sd,max_sent_connectives,cluster,x,y,z,motif
125,0.5357142857142857,25.62456012394185,4,6,1,0.4642857142857143,0.2935951509592513,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
126,0.25,13.882562474929513,4,3,2,0.75,0.4768770919439324,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
127,0.2142857142857142,10.115681891501875,2,4,3,0.7857142857142857,0.5074137681897172,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,BRE
128,0.7142857142857143,43.03016096663505,4,6,2,0.2857142857142857,0.1805132531834964,0.0,0.0,0.0,0.0,3,0.31987069636477106,-0.06207439354574725,0.14644402077090535,GD
129,0.6785714285714286,38.36578783635404,5,6,1,0.3214285714285714,0.2030182503056417,0.0,0.0,0.0,0.0,0,-0.0031443127596044096,0.06294024128894891,-0.006946282297922092,GD
130,0.8571428571428571,51.48533711398904,4,7,2,0.1428571428571428,0.0933354618749964,0.0,0.0,0.0,0.0,2,0.5707364594076968,0.3296393513787499,-0.2999743478777647,GD
131,0.2857142857142857,17.418772258434736,3,5,4,0.7142857142857143,0.45028840266653,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
132,0.3928571428571428,22.77394385845524,4,4,2,0.6071428571428571,0.3811108570715099,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
133,0.5,27.53237384902181,4,5,1,0.5,0.3140191630081881,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
134,0.5,31.148000528781267,3,5,1,0.5,0.3124424534472023,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
135,0.6071428571428571,34.42059712741443,3,6,2,0.3928571428571428,0.247007150105056,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,GD
136,0.6428571428571429,38.87238314461306,3,6,2,0.3571428571428571,0.2243177206132327,0.0,0.0,0.0,0.0,0,-0.07729121348773352,0.006576074267153946,-0.023179900113593777,GD
137,0.3571428571428571,18.222179461156845,4,5,2,0.6428571428571429,0.4065235805608092,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
138,0.6071428571428571,41.77501130323193,3,7,3,0.3928571428571428,0.2450655398183325,0.0,0.0,0.0,0.0,0,-0.08368539519772056,0.0033534888640991225,0.01635668286629456,GD
139,0.3571428571428571,22.86508071240272,2,5,3,0.6428571428571429,0.4024751760217766,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
140,0.4642857142857143,27.68597687755356,3,7,2,0.5357142857142857,0.335372666890525,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
141,0.6071428571428571,34.67969310903788,4,7,1,0.3928571428571428,0.2469251444730085,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,GD
142,0.3571428571428571,18.433911825664342,3,6,1,0.6428571428571429,0.4062968634057087,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
143,0.6785714285714286,42.607087845261454,3,6,2,0.3214285714285714,0.2020299636017747,0.0,0.0,0.0,0.0,1,-0.29753114468231784,-0.11461873039608729,-0.025378072024994598,GD
144,0.3571428571428571,20.83410836038623,3,4,2,0.6428571428571429,0.4040342460899392,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
145,0.3928571428571428,24.157001578431338,3,5,1,0.6071428571428571,0.3801858603644482,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
146,0.4642857142857143,29.63277230342561,3,5,2,0.5357142857142857,0.3344864819577882,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
147,0.4285714285714285,29.50881760789725,3,5,2,0.5714285714285714,0.3559681065510114,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
148,0.3214285714285714,22.658633523753885,3,4,2,0.6785714285714286,0.4240500043624288,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
149,0.3214285714285714,18.501165697611928,3,7,3,0.6785714285714286,0.4276544514855985,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
150,0.4642857142857143,27.15004609173647,4,6,1,0.5357142857142857,0.3356381396366115,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
151,0.6428571428571429,41.9431477317274,4,6,2,0.3571428571428571,0.2236003551802026,0.0,0.0,0.0,0.0,0,0.17315565873362973,0.03787424894022004,-0.03513969791568613,GD
152,0.5357142857142857,30.33593128018524,4,6,1,0.4642857142857143,0.2913363276396408,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
153,0.2142857142857142,13.71902532794043,2,3,2,0.7857142857142857,0.4986042838883291,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
154,0.3571428571428571,20.70797729730682,3,6,2,0.6428571428571429,0.4041406915706077,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
155,0.5714285714285714,37.37229526553436,4,5,1,0.4285714285714285,0.267567044625832,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
156,0.6071428571428571,34.10090255641697,5,6,1,0.3928571428571428,0.2471100040824128,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,GD
